timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687566602430,1,Get Catalog,200,,GetCatalog 1-16,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602431,1,Get Catalog,200,,GetCatalog 1-16,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602437,2,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602439,1,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602440,1,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602448,1,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602449,1,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602450,1,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602464,2,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602466,0,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602466,1,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602468,2,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602470,1,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602471,1,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602480,2,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602482,1,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602483,1,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602488,2,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602490,1,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602491,0,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602499,2,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602501,1,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602503,0,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602509,2,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602512,0,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602513,0,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602514,2,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602516,1,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602517,0,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602518,2,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602520,1,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602521,1,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602524,2,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602526,1,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602527,1,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602534,2,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602536,1,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602537,1,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602544,2,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602546,1,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602547,1,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602554,2,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602556,1,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602557,1,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602567,3,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,1
1687566602570,1,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602571,1,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602575,2,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602577,1,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602578,1,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602585,2,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602587,1,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602588,1,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602594,2,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602596,1,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602597,1,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602607,2,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602609,1,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602611,0,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602615,2,Get Catalog,200,,GetCatalog 1-36,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602617,2,Get Catalog,200,,GetCatalog 1-36,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566602619,0,Get Catalog,200,,GetCatalog 1-36,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602627,2,Get Catalog,200,,GetCatalog 1-37,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602629,1,Get Catalog,200,,GetCatalog 1-37,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602630,1,Get Catalog,200,,GetCatalog 1-37,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602635,3,Get Catalog,200,,GetCatalog 1-38,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,1
1687566602638,1,Get Catalog,200,,GetCatalog 1-38,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602639,1,Get Catalog,200,,GetCatalog 1-38,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602643,2,Get Catalog,200,,GetCatalog 1-39,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602645,1,Get Catalog,200,,GetCatalog 1-39,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602647,0,Get Catalog,200,,GetCatalog 1-39,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602653,2,Get Catalog,200,,GetCatalog 1-40,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566602656,1,Get Catalog,200,,GetCatalog 1-40,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602657,0,Get Catalog,200,,GetCatalog 1-40,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566602665,3,Get Catalog,200,,GetCatalog 1-41,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,0
1687566602668,1,Get Catalog,200,,GetCatalog 1-41,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602669,1,Get Catalog,200,,GetCatalog 1-41,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566602675,2,Get Catalog,200,,GetCatalog 1-42,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
