timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687566543480,1,Get Catalog,200,,GetCatalog 1-16,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543481,1,Get Catalog,200,,GetCatalog 1-16,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543494,2,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543496,1,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543497,1,Get Catalog,200,,GetCatalog 1-17,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543500,2,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543502,0,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566543503,0,Get Catalog,200,,GetCatalog 1-18,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566543516,2,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543518,1,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543519,1,Get Catalog,200,,GetCatalog 1-19,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543520,2,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543522,1,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543523,1,Get Catalog,200,,GetCatalog 1-20,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543536,2,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543538,2,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543540,1,Get Catalog,200,,GetCatalog 1-21,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543539,2,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,1
1687566543541,2,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543543,1,Get Catalog,200,,GetCatalog 1-22,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543556,2,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543558,1,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543560,2,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,1
